d__Archaea	47926165
d__Bacteria	2180840838
p__Thermoplasmatota	14614793
p__Proteobacteria	422592141
p__Firmicutes_A	548204033
p__Bacteroidota	348305786
p__Firmicutes_C	21825029
p__Firmicutes	70468362
p__Actinobacteriota	204363054
p__Cyanobacteria	12597460
p__Spirochaetota	3787324
p__Fusobacteriota	2015084
p__UBA3054	21961
p__Firmicutes_B	1834066
p__Verrucomicrobiota	54878928
p__Halobacteriota	5152092
p__Planctomycetota	20562785
p__Desulfobacterota	25848078
p__Campylobacterota	2632872
p__Deinococcota	826521
p__Nitrospirota	6018429
p__Thermoproteota	15858242
p__Methanobacteriota	1269239
p__Gemmatimonadota	15477540
p__Chloroflexota	36539733
p__Thermotogota	255599
p__Aquificota	138864
p__Coprothermobacterota	10760
p__Cloacimonadota	466795
p__Synergistota	1282313
p__Acidobacteriota	122404202
p__Patescibacteria	12084464
p__Myxococcota	12570118
p__Nitrospinota	1887506
p__Latescibacterota	1269251
p__Poribacteria	531375
p__Desulfobacterota_C	22537
p__Marinisomatota	9491503
p__Zixibacteria	340223
p__Verrucomicrobiota_A	700224
p__SAR324	4354319
p__Firmicutes_F	282899
p__Fibrobacterota	1823986
p__Myxococcota_A	1507933
p__Desulfobacterota_B	10433408
p__Myxococcota_B	35715
p__Caldisericota	176304
p__Dependentiae	277039
p__Firmicutes_D	209310
p__Elusimicrobiota	781609
p__RBG-13-66-14	11528
p__Moduliflexota	87719
p__Riflebacteria	287272
p__Asgardarchaeota	561875
p__Nanoarchaeota	7712746
p__Bdellovibrionota	1251983
p__Armatimonadota	1382554
p__Firmicutes_G	418445
p__Firmicutes_E	127780
p__Eremiobacterota	1078418
p__Methylomirabilota	13185383
p__Delongbacteria	12759
p__Margulisbacteria	247423
p__DTU030	3472
p__Schekmanbacteria	51576
p__Omnitrophota	1306781
p__Lindowbacteria	36433
p__Dormibacterota	7074853
p__Hydrogenedentota	231582
p__Desulfobacterota_D	1900430
p__Altarchaeota	106440
p__Nitrospinota_A	125133
p__Aenigmatarchaeota	385802
p__UBP7	16187
p__Deferribacterota	162398
p__UBP17	16722
p__Krumholzibacteriota	235727
p__Tectomicrobia	1470061
p__Eisenbacteria	1272205
p__OLB16	56204
p__Abyssubacteria	25092
p__Caldatribacteriota	414227
p__SURF-8	25666
p__BMS3Abin14	32458
p__Bipolaricaulota	187977
p__KSB1	230757
p__Undinarchaeota	25085
p__Iainarchaeota	122428
p__Edwardsbacteria	35635
p__CSP1-3	763656
p__CG03	31405
p__CG2-30-53-67	29560
p__AABM5-125-24	72631
p__WOR-3	254404
p__Calditrichota	147586
p__SM23-31	45135
p__Firestonebacteria	13317
p__UBA10199	88402
p__Fermentibacterota	88804
p__Bdellovibrionota_C	72922
p__Hadarchaeota	36788
p__Thermosulfidibacterota	8872
p__Goldbacteria	32570
p__Micrarchaeota	134071
p__UBP14	24648
p__FEN-1099	16327
p__UBP18	2479
p__UBA6262	5125
p__SZUA-182	14311
p__TA06_A	12949
p__Chrysiogenetota	4231
p__CG2-30-70-394	21591
p__Gemmatimonadota_A	8328
p__4572-55	16915
p__UBP4	6050
p__UBP6	28936
p__Aureabacteria	78817
p__RUG730	1176
p__Bdellovibrionota_D	12069
p__SZUA-79	4579
p__Nitrospinota_B	39415
p__Sumerlaeota	56115
p__J088	4167
p__ARS69	9053
p__Hydrothermarchaeota	18432
p__TA06	23247
p__UBP13	6433
p__Aerophobota	56099
p__B64-G9	17531
p__UBP7_A	9897
p__QMZS01	12851
p__Muirbacteria	3247
p__FCPU426	82129
p__Desantisbacteria	43271
p__Nanohaloarchaeota	23217
p__EX4484-52	5342
p__Wallbacteria	14881
p__B130-G9	5693
p__PWEA01	13356
p__Dictyoglomota	9075
p__Calescibacterota	9540
p__UBA9089	37062
p__T1SED10-198M	2433
p__Thermodesulfobiota	1938
p__UBA2233	6446
p__CSSED10-310	3467
p__NPL-UPA2	2326
p__GCA-001730085	3700
p__Huberarchaeota	9405
p__UBP15	9671
p__SLNR01	1886
c__Thermoplasmata	2794254
c__Gammaproteobacteria	196708396
c__Clostridia	513154371
c__Bacteroidia	343227063
c__Negativicutes	21825029
c__Bacilli	70353356
c__Alphaproteobacteria	211109906
c__Actinomycetia	117468916
c__Cyanobacteriia	8141028
c__Vampirovibrionia	4386243
c__Brachyspirae	186577
c__Coriobacteriia	22135133
c__Clostridia_A	34847821
c__Thermoanaerobacteria	54270
c__Fusobacteriia	2015084
c__UBA3054	21961
c__Desulfitobacteriia	207372
c__Verrucomicrobiae	46517453
c__Acidimicrobiia	22816201
c__Spirochaetia	2969661
c__Halobacteria	1947910
c__Planctomycetes	12871617
c__Desulfuromonadia	1416605
c__UBA4802	226116
c__Desulfovibrionia	8990959
c__Campylobacteria	2622738
c__Deinococci	826521
c__Thermodesulfovibrionia	1083861
c__Desulfobulbia	1181261
c__Desulfotomaculia	240483
c__Peptococcia	865172
c__Thermoproteia	470577
c__Methanosarcinia	1091182
c__Methanomicrobia	1457040
c__Korarchaeia	28626
c__Thermococci	140374
c__Methanocellia	22250
c__Poseidoniia	11261823
c__Methanobacteria	1103104
c__Nitrososphaeria	11431654
c__Chlorobia	289583
c__Gemmatimonadetes	15448420
c__Syntrophia	2427364
c__Chloroflexia	1990384
c__Thermotogae	255599
c__Aquificae	113964
c__Coprothermobacteria	10760
c__Thermoleophilia	31543031
c__Rhodothermia	1129497
c__Cloacimonadia	466795
c__Synergistia	1279281
c__Desulfobaccia	560711
c__Thermodesulfobacteria	53232
c__Ignavibacteria	1323764
c__Acidobacteriae	80249421
c__Leptospirae	286998
c__Anaerolineae	12164272
c__Saccharimonadia	2440535
c__Dehalococcoidia	8168336
c__Myxococcia	3858866
c__Kiritimatiellae	5923565
c__Nitrospiria	4485273
c__Desulfofervidia	55240
c__Vicinamibacteria	19589692
c__Desulfobacteria	4360299
c__Nitrospinia	1793782
c__Aminicenantia	866623
c__Latescibacteria	25097
c__WGA-4E	531375
c__Syntrophorhabdia	681972
c__Defferisomatia	22537
c__Mahellia_A	90319
c__Moorellia	71022
c__Marinisomatia	9299516
c__MSB-5A5	340223
c__Ktedonobacteria	3945293
c__Paceibacteria	3619808
c__Kryptonia	22137
c__Thermosediminibacteria	49235
c__Syntrophomonadia	218624
c__Chlamydiia	411927
c__Lentisphaeria	2437910
c__SAR324	4354319
c__UBA796	543004
c__Brocadiae	625120
c__Halanaerobiia	282899
c__Syntrophobacteria	948809
c__Blastocatellia	10819191
c__Fibrobacteria	1673477
c__Dehalobacteriia	208709
c__Polyangia	6505477
c__UBA9160	1507933
c__Binatia	10433408
c__UBA6777	35715
c__Caldisericia	176304
c__MBNT15	788014
c__Babeliae	277039
c__Dethiobacteria	169677
c__Elusimicrobia	621059
c__UBA4738	3057949
c__RBG-13-66-14	9111
c__Ellin6529	8172258
c__Gracilibacteria	1028675
c__Moduliflexia	87719
c__UBA8108	603512
c__Doudnabacteria	94950
c__UBA10030	1066092
c__Ozemobacteria	287272
c__Lokiarchaeia	270871
c__Nanoarchaeia	7712746
c__Oligoflexia	237434
c__HRBIN16	60731
c__UBA4882	73391
c__ABY1	1082998
c__DTU015	57833
c__DTU014	5155
c__Sulfobacillia	7342
c__UBA6077	837494
c__Limnochordia	145976
c__Desulfurellia	9087
c__Glassbacteria	27486
c__Alicyclobacillia	35921
c__Holophagae	430082
c__UBP9	92021
c__Bdellovibrionia	268157
c__Phycisphaerae	4323885
c__Sericytochromatia	35509
c__SHA-98	164414
c__Thermoanaerobaculia	3365676
c__UBA2968	1216865
c__GCA-002687715	115482
c__Heimdallarchaeia	107805
c__Methylomirabilia	13185383
c__SLMV01	26037
c__UBA1135	1128018
