group	whole_count	whole_all
RNA polymerase Rpb5	1764	7270730
AbrB/MraZ DNA-binding domain	58900	7270730
Zinc beta-ribbon	104385	7270730
PRC-barrel like superfamily	11496	7270730
Ig-like fold superfamily (E-set)	48528	7270730
Sec61beta family	1346	7270730
Ribosomal protein	587850	7270730
Sm (Small RNA binding protein domain)	15414	7270730
Domain of unknown function	666645	7270730
Rof/RNase P subunit-like superfamily	2067	7270730
HupF/HypC family	12617	7270730
PC4-like superfamily	3605	7270730
Transcriptional repressor beta-barrel domain	35260	7270730
FKBP-like superfamily	24451	7270730
Uncharacterized protein conserved in bacteria (DUF2188)	4166	7270730
ATP synthase subunit C	20994	7270730
4Fe-4S ferredoxins	85419	7270730
Chorismate mutase type II	7665	7270730
"MetJ/Arc repressor, antitoxin of TA systems superfamily"	103300	7270730
Phosphoribosylformylglycinamidine (FGAM) synthase	19952	7270730
RNA polymerase Rpb6	21790	7270730
Helix-turn-helix clan	1299568	7270730
Exonuclease VII small subunit	34459	7270730
Bacteriophage holin superfamily II	632	7270730
gpW	310	7270730
Selenoprotein	2981	7270730
Entericidin EcnA/B family	3561	7270730
Hok/gef family	348	7270730
YccJ-like protein	60	7270730
Putative quorum-sensing-regulated virulence factor	2983	7270730
Bacterial export proteins	12379	7270730
MBD-like DNA-binding domain	1345	7270730
PTS HPr component phosphorylation site	23095	7270730
Oxaloacetate decarboxylase	2136	7270730
Putative membrane protein insertion efficiency factor	19404	7270730
ACP-like superfamily	67309	7270730
SpoVG	5037	7270730
Toxin Ldr	93	7270730
YaiA protein	71	7270730
Plasmid toxin-antitoxin system	131891	7270730
Heme exporter protein D (CcmD)	5550	7270730
YsaB-like lipoprotein	32	7270730
Bacterial Fe(2+) trafficking	4923	7270730
Cobalt transport protein component CbiN	347	7270730
Glu-tRNAGln amidotransferase C subunit	26476	7270730
Global regulator protein family	16276	7270730
OB fold	229357	7270730
zinc-finger binding domain of transposase IS66	62	7270730
Phosphatase superfamily	19567	7270730
YGGT family	12253	7270730
IreB regulatory phosphoprotein	5208	7270730
Cell division protein ZapA	7487	7270730
K-Homology (KH) domain Superfamily	29519	7270730
BMC domain	8505	7270730
Six-cysteine peptide SCIFF	1691	7270730
Preprotein translocase subunit	10479	7270730
Small	7619	7270730
SecE/Sec61-gamma subunits of protein translocation complex	29570	7270730
GroES-like superfamily	35498	7270730
Cysteine-rich CWC	915	7270730
HMA domain superfamily	27294	7270730
Membrane fusogenic activity	7375	7270730
TusA-like superfamily	24353	7270730
PXPV repeat (3 copies)	11	7270730
Membrane bound YbgT-like protein	1476	7270730
Iron-sulphur cluster assembly	4518	7270730
Transglycosylase associated protein	16825	7270730
Dimeric alpha/beta barrel superfamily	110938	7270730
"Type III secretion system-derived superfamily, hook-related"	6146	7270730
Flp/Fap pilin component	25177	7270730
Bacterioferritin-associated ferredoxin superfamily	8914	7270730
Ribonuclease H-like superfamily	40439	7270730
YqjK-like protein	481	7270730
PAAR motif	4759	7270730
Phage shock protein G (Phageshock_PspG)	148	7270730
TRASH superfamily	16076	7270730
2Fe-2S iron-sulfur cluster binding domain	35186	7270730
Sigma-S stabilisation anti-adaptor protein	111	7270730
S4 domain superfamily	21931	7270730
YjbJ-CsbD-like superfamily	25874	7270730
Glycine-zipper TM superfamily	3493	7270730
Multidrug efflux pump-associated protein AcrZ	89	7270730
Biofilm development protein YmgB/AriR	256	7270730
HicA toxin of bacterial toxin-antitoxin	28833	7270730
Phage shock protein PspD (Phageshock_PspD)	88	7270730
YtcA-like superfamily	4482	7270730
Lipo-protein attachment motif superfamily	2054	7270730
Thioredoxin-like	81608	7270730
FtsL-like superfamily	16202	7270730
Periplasmic nitrate reductase protein NapE	684	7270730
BolA-like protein	16444	7270730
Flagellar hook-basal body complex protein FliE	2201	7270730
IHF-like DNA-binding protein superfamily	54259	7270730
Usg-like family	2052	7270730
Transcription factor WhiB	8980	7270730
Lanthionine-containing peptide SapB precursor RamS	138	7270730
Bacteriocin (Lactococcin_972)	133	7270730
Cell division protein CrgA	2003	7270730
Two-component-system connector protein	19	7270730
Haemolysin XhlA	891	7270730
Photosystem I psaG / psaK	337	7270730
Ubiquitin superfamily	79019	7270730
Serine endopeptidase inhibitors	97	7270730
Nucleotidyltransferase substrate binding domain	1248	7270730
PsbJ	298	7270730
PetM family of cytochrome b6f complex subunit 7	190	7270730
Nif11 domain	2675	7270730
4TM region of pyridine nucleotide transhydrogenase	7642	7270730
Nucleotidyltransferase superfamily	14452	7270730
ATP-dependent Clp protease adaptor protein ClpS	7306	7270730
TM2 domain	3856	7270730
CRISPR associated protein Cas2	8359	7270730
Src homology-3 domain	44502	7270730
HigB_toxin	4117	7270730
RRM-like clan	16407	7270730
Tetratrico peptide repeat superfamily	65482	7270730
"Metal-bound fold, usually iron, metallothionein superfamily"	148	7270730
Septum formation topological specificity factor MinE	5216	7270730
RelB Antitoxin alpha helical domain	361	7270730
mttA/Hcf106 family	21021	7270730
Photosystem II protein Y (PsbY)	292	7270730
Trypsin-co-occurring domain 2	60	7270730
"MtN3-like, vesicle-trafficking cargo-receptors"	7686	7270730
Cell growth inhibitor/plasmid maintenance toxic component superfamily	4929	7270730
Pullulanase Ins domain	2	7270730
PH domain-like superfamily	4941	7270730
Phycobilisome degradation protein nblA	307	7270730
Photosystem II reaction centre N protein (psbN)	835	7270730
Predicted small integral membrane protein (DUF2160)	1147	7270730
AAA+ ATPase lid domain superfamily	41821	7270730
NifU C-terminal domain-like superfamily	19239	7270730
SPOR domain	10428	7270730
Tautomerase/MIF superfamily	14715	7270730
N-acetyltransferase like	25364	7270730
Barrel sandwich hybrid superfamily	46637	7270730
SHS2 domain	21473	7270730
Rubredoxin-like	22870	7270730
Sarcosine oxidase	4171	7270730
Metal-sensitive transcriptional repressor	18520	7270730
Predicted integral membrane protein (DUF2282)	3551	7270730
NADH-dependant formate dehydrogenase delta subunit FdsD	3100	7270730
NTF2-like superfamily	4028	7270730
Phage related hypothetical protein (DUF1799)	629	7270730
Putative excisionase (DUF1233)	152	7270730
RNA-DNA binding Alba-like superfamily	4806	7270730
YabP family	9839	7270730
Biofilm formation stimulator VEG	1932	7270730
YyzF-like protein	161	7270730
Helix-hairpin-helix superfamily	36289	7270730
Phage shock protein B	1321	7270730
Cupin fold	46977	7270730
HrpF protein	40	7270730
YdgH/BhsA/McbA-like domain	1022	7270730
STAS domain superfamily	13627	7270730
Flavinator of succinate dehydrogenase	6986	7270730
CbtA_toxin of type IV toxin-antitoxin system	11	7270730
(Na+)-NQR maturation NqrM	924	7270730
Major outer membrane lipoprotein zipper superfamily	278	7270730
SlyX	5738	7270730
SAF-like beta clip superfamily	5895	7270730
Transposon-encoded protein TnpW	4682	7270730
His Kinase A (phospho-acceptor) domain	29812	7270730
ACT-like domain	71714	7270730
Preprotein translocase SecG subunit	12952	7270730
Holin superfamily V	3578	7270730
Putative Flagellin	1705	7270730
GIY-YIG endonuclease superfamily	26645	7270730
Cysteine protease Prp	1095	7270730
Stage III sporulation protein AC/AD protein family	5683	7270730
TSCPD domain	7025	7270730
Phospholipase_D-nuclease N-terminal	2963	7270730
FeoB-associated Cys-rich membrane protein	1644	7270730
CRS1 / YhbY (CRM) domain	6590	7270730
High potential iron-sulfur protein like	79	7270730
